lr-AdamW,step,val/loss_reg,val/mse_reg,val/r2_reg,val/pearson_reg,epoch,train/loss_reg,train/mse_reg,train/r2_reg,train/pearson_reg
,2158,0.1128806322813034,0.20430169999599457,0.7596808075904846,0.8837687373161316,16,,,,
,2158,,,,,16,0.11827690899372101,0.21386490762233734,0.7476558089256287,0.8658938407897949
0.001,2159,,,,,,,,,
,2285,0.10565336793661118,0.19098998606204987,0.7753419876098633,0.8836351633071899,17,,,,
,2285,,,,,17,0.1176590695977211,0.21260672807693481,0.7491061091423035,0.8670191764831543
0.001,2286,,,,,,,,,
,2412,0.10899624228477478,0.19720245897769928,0.7680203318595886,0.8835083842277527,18,,,,
,2412,,,,,18,0.1180846244096756,0.213577002286911,0.747935950756073,0.8669618964195251
0.001,2413,,,,,,,,,
,2539,0.10914779454469681,0.1975223869085312,0.7676703333854675,0.8843349814414978,19,,,,
,2539,,,,,19,0.11774017661809921,0.21287500858306885,0.7487542629241943,0.8674063682556152
0.001,2540,,,,,,,,,
,2666,0.12182950228452682,0.22103196382522583,0.7400081753730774,0.8839194178581238,20,,,,
,2666,,,,,20,0.11613758653402328,0.2100062221288681,0.752310037612915,0.8683868646621704
0.001,2667,,,,,,,,,
,2793,0.10756295174360275,0.19467736780643463,0.7710270285606384,0.8837626576423645,21,,,,
,2793,,,,,21,0.11658024787902832,0.21075905859470367,0.7512482404708862,0.8686703443527222
0.001,2794,,,,,,,,,
,2920,0.11014211177825928,0.199417844414711,0.765435516834259,0.8845329284667969,22,,,,
,2920,,,,,22,0.11605691909790039,0.20981895923614502,0.7524513602256775,0.8690288066864014
0.001,2921,,,,,,,,,
,3047,0.11116614937782288,0.2012840211391449,0.7632384896278381,0.8849557638168335,23,,,,
,3047,,,,,23,0.11580391228199005,0.20938418805599213,0.7530081868171692,0.8693317770957947
0.001,3048,,,,,,,,,
,3174,0.10320597141981125,0.18660739064216614,0.7805531620979309,0.8843916058540344,24,,,,
,3174,,,,,24,0.1159067451953888,0.20948608219623566,0.7526835799217224,0.8697656393051147
0.001,3175,,,,,,,,,
,3301,0.11104302108287811,0.20093131065368652,0.7636383771896362,0.8833597898483276,25,,,,
,3301,,,,,25,0.11447685211896896,0.206899955868721,0.7558377981185913,0.87032550573349
0.001,3302,,,,,,,,,
,3428,0.11526311933994293,0.20809687674045563,0.7551597952842712,0.8831960558891296,26,,,,
,3428,,,,,26,0.11494886875152588,0.2077990174293518,0.7547895908355713,0.8704962134361267
0.001,3429,,,,,,,,,
,3555,0.10833702236413956,0.1959870606660843,0.7694701552391052,0.8848652243614197,27,,,,
,3555,,,,,27,0.11479620635509491,0.20748618245124817,0.7550765872001648,0.8704555630683899
0.001,3556,,,,,,,,,
,3682,0.11105138063430786,0.20058570802211761,0.763999342918396,0.8827887177467346,28,,,,
,3682,,,,,28,0.1141255795955658,0.20632176101207733,0.7565878629684448,0.8709678649902344
0.001,3683,,,,,,,,,
,3809,0.10674144327640533,0.1929558515548706,0.7730334997177124,0.8845608830451965,29,,,,
,3809,,,,,29,0.11435436457395554,0.20664504170417786,0.7561295032501221,0.8713551163673401
0.001,3810,,,,,,,,,
,3936,0.10626517236232758,0.19204874336719513,0.7740999460220337,0.8850393295288086,30,,,,
,3936,,,,,30,0.11413276940584183,0.2063407301902771,0.7565909624099731,0.8714843392372131
0.001,3937,,,,,,,,,
,4063,0.10887614637613297,0.19689777493476868,0.7683886289596558,0.8841754794120789,31,,,,
,4063,,,,,31,0.11364274471998215,0.20536363124847412,0.757723331451416,0.8719021677970886
0.001,4064,,,,,,,,,
,4190,0.11493739485740662,0.2077997475862503,0.7555464506149292,0.8854026794433594,32,,,,
,4190,,,,,32,0.11346598714590073,0.20509105920791626,0.7579428553581238,0.872072696685791
0.001,4191,,,,,,,,,
,4317,0.11364679038524628,0.20529945194721222,0.7584598064422607,0.8844794631004333,33,,,,
,4317,,,,,33,0.11349938809871674,0.20515702664852142,0.7579044699668884,0.8719953298568726
0.001,4318,,,,,,,,,
,4444,0.10390371829271317,0.1878919154405594,0.7790223956108093,0.8842836618423462,34,,,,
,4444,,,,,34,0.11303681880235672,0.2042146772146225,0.7589587569236755,0.8726127743721008
0.001,4445,,,,,,,,,
,4571,0.10716696828603745,0.19371850788593292,0.7721423506736755,0.885390043258667,35,,,,
,4571,,,,,35,0.11382487416267395,0.20580624043941498,0.7570799589157104,0.8724350333213806
0.001,4572,,,,,,,,,
,4698,0.11219274997711182,0.20273958146572113,0.7615044713020325,0.8845272064208984,36,,,,
,4698,,,,,36,0.11276689916849136,0.20376072824001312,0.7595177888870239,0.8728958964347839
0.001,4699,,,,,,,,,
,4825,0.11859738826751709,0.21435394883155823,0.7478343844413757,0.8852865695953369,37,,,,
,4825,,,,,37,0.11293761432170868,0.20404857397079468,0.7591181397438049,0.8727154731750488
0.001,4826,,,,,,,,,
,4952,0.10504858195781708,0.1898188441991806,0.7767372727394104,0.8849570155143738,38,,,,
,4952,,,,,38,0.11241067945957184,0.20315629243850708,0.7603500485420227,0.8731582760810852
0.001,4953,,,,,,,,,
,5079,0.10676898807287216,0.1931692361831665,0.7727997303009033,0.8850712776184082,39,,,,
,5079,,,,,39,0.11216196417808533,0.2026708573102951,0.7607243657112122,0.8732688426971436
0.001,5080,,,,,,,,,
,5206,0.11332932114601135,0.20519688725471497,0.7586353421211243,0.885202169418335,40,,,,
,5206,,,,,40,0.11241541802883148,0.20319581031799316,0.7601960897445679,0.8730653524398804
0.001,5207,,,,,,,,,
,5333,0.10944365710020065,0.19802385568618774,0.7670681476593018,0.8847177028656006,41,,,,
,5333,,,,,41,0.11222348362207413,0.20275284349918365,0.7607104182243347,0.8732600212097168
0.001,5334,,,,,,,,,
,5460,0.10663934797048569,0.19287368655204773,0.7731429934501648,0.8847957849502563,42,,,,
,5460,,,,,42,0.1124132052063942,0.20321670174598694,0.7602255940437317,0.8734034299850464
0.001,5461,,,,,,,,,
,5587,0.10542825609445572,0.19060856103897095,0.7758117914199829,0.8858304023742676,43,,,,
,5587,,,,,43,0.1117844507098198,0.20210029184818268,0.7616032361984253,0.8736332058906555
0.001,5588,,,,,,,,,
,5714,0.10686745494604111,0.19305741786956787,0.7729169726371765,0.8856258988380432,44,,,,
