fold,R2,Pearson,MSE
1,0.8020389080047607,0.8973639011383057,0.19791974127292633
2,0.8206881880760193,0.9065917134284973,0.17785969376564026
3,0.7953136563301086,0.8925859928131104,0.2057993412017822
4,0.8017141819000244,0.8965116739273071,0.19533772766590118
5,0.8200121521949768,0.9062328338623047,0.1811179667711258
